Short_Description_ru,Short_Description,Water_In_Grams,Energy_In_Kilogram_Calorie,Protein_In_Grams,Lipid_Tot_In_Grams,Ash_In_Grams,Carbohydrate_In_Grams,Fiber_TD_In_Grams,Sugar_Tot_In_Grams,Calcium_In_Miligrams,Iron_In_Miligrams,Magnesium_In_Miligrams,Phosphorus_In_Miligrams,Potassium_In_Miligrams,Sodium_In_Miligrams,Zinc_In_Miligrams,Copper_In_Miligrams,Manganese_In_Miligrams,Selenium_In_Micrograms,Vit_C_In_Miligrams,Thiamin_In_Miligrams,Riboflavin_In_Miligrams,Niacin_In_Miligrams,Panto_Acid_In_Miligrams,Vit_B6_In_Miligrams,Folate_Tot_In_Micrograms,Folic_Acid_In_Micrograms,Food_Folate_In_Micrograms,Folate_DFE_In_Micrograms,Choline_Tot_In_Miligrams,Vit_B12_In_Micrograms,Vit_A_In_International_Unit,Vit_A_In_Retinol_Activity_Equivalents,Retinol_In_Micrograms,Alpha_Carot_In_Micrograms,Beta_Carot_In_Micrograms,Beta_Crypt_In_Micrograms,Lycopene_In_Micrograms,Lut_And_Zea_In_Micrograms,Vit_E_In_Miligrams,Vit_D_In_Micrograms,Vit_D_In_International_Unit,Vit_K_In_Micrograms,FA_Sat_In_Grams,FA_Mono_In_Grams,FA_Poly_In_Grams,Cholesterol_In_Miligrams,Gram_Weight_1,Gram_Weight_Descritpion_1,Gram_Weight_2,Gram_Weight_Description_2,Refuse_Percent,Desk3,cluster
"батончики для завтрака,овс,сахар,изюм,cocnt (включая батончик гранола)","breakfast bars,oats,sugar,raisins,cocnt (incl granola bar)",4.1,464,9.8,17.6,1.8,66.7,3.1,27.52,60.0,3.18,101.0,277.0,326.0,251.0,1.6,0.36,0.0,16.0,1.0,0.28,0.11,1.75,0.0,0.35,81.0,0.0,81.0,81.0,27.6,0.0,152.0,8.0,0.0,0.0,91.0,0.0,0.0,107.0,0.82,0.0,0.0,15.9,12.69,1.933,1.634,0.0,43.0,1 bar,0.0,0,0.0,завтрак,cluster 16
"товары для завтрака, печенье с яйцом и колбасой","breakfast items,biscuit w/egg&sausage",44.48,312,11.13,20.77,2.56,21.05,0.2,0.95,51.0,1.9,13.0,312.0,149.0,672.0,0.9,0.244,0.138,22.6,0.0,0.282,0.263,2.467,0.939,0.068,42.0,34.0,9.0,66.0,97.9,0.75,203.0,43.0,39.0,0.0,42.0,2.0,0.0,87.0,0.95,0.5,22.0,4.4,6.449,9.985,2.967,161.0,162.0,1 item,0.0,0,0.0,завтрак,cluster 16
бар для завтраков,breakfast bar,14.5,377,4.4,7.5,0.8,72.9,2.1,35.1,41.0,4.86,27.0,103.0,197.0,297.0,4.1,0.1,0.0,15.0,0.0,1.0,1.1,13.5,0.0,1.4,108.0,95.0,13.0,174.0,34.3,0.0,2027.0,608.0,608.0,0.0,0.0,0.0,0.0,40.0,0.76,0.0,0.0,13.8,1.5,5.0,0.9,0.0,28.35,1 oz,37.0,1 bar,0.0,завтрак,cluster 16
завтрак тарт,breakfast tart,12.04,372,3.99,5.99,1.18,76.8,1.5,4.87,44.0,3.42,44.0,93.0,66.0,361.0,0.28,0.073,0.0,12.9,3.8,0.285,0.5489999999999999,3.8,0.0,0.38,100.0,47.0,53.0,133.0,8.4,0.0,950.0,285.0,285.0,0.0,3.0,1.0,0.0,4.0,0.53,0.0,0.0,0.4,1.393,3.338,0.878,0.0,52.0,1 tart,0.0,0,0.0,завтрак,cluster 16
"завтрак тарт, лофа","breakfast tart,lofat",12.04,372,3.99,5.99,1.18,76.8,1.5,4.87,44.0,3.42,44.0,93.0,66.0,361.0,0.28,0.073,0.0,12.9,3.8,0.285,0.5489999999999999,3.8,0.0,0.38,100.0,47.0,53.0,133.0,8.4,0.0,950.0,285.0,285.0,0.0,3.0,1.0,0.0,4.0,0.53,0.0,0.0,0.4,1.393,3.338,0.878,0.0,52.0,1 tart,0.0,0,0.0,завтрак,cluster 16
"бар для завтрака, кукурузные хлопья с фруктами","breakfast bar,corn flake crust w/fruit",14.5,377,4.4,7.5,0.8,72.9,2.1,35.1,41.0,4.86,27.0,103.0,197.0,297.0,4.1,0.1,0.0,15.0,0.0,1.0,1.1,13.5,0.0,1.4,108.0,95.0,13.0,174.0,34.3,0.0,2027.0,608.0,608.0,0.0,0.0,0.0,0.0,40.0,0.76,0.0,0.0,13.8,1.5,5.0,0.9,0.0,28.35,1 oz,37.0,1 bar,0.0,завтрак,cluster 16
завтрак,breakfast items,44.48,312,11.13,20.77,2.56,21.05,0.2,0.95,51.0,1.9,13.0,312.0,149.0,672.0,0.9,0.244,0.138,22.6,0.0,0.282,0.263,2.467,0.939,0.068,42.0,34.0,9.0,66.0,97.9,0.75,203.0,43.0,39.0,0.0,42.0,2.0,0.0,87.0,0.95,0.5,22.0,4.4,6.449,9.985,2.967,161.0,162.0,1 item,0.0,0,0.0,завтрак,cluster 16
завтрак,breakfast bars,4.1,464,9.8,17.6,1.8,66.7,3.1,27.52,60.0,3.18,101.0,277.0,326.0,251.0,1.6,0.36,0.0,16.0,1.0,0.28,0.11,1.75,0.0,0.35,81.0,0.0,81.0,81.0,27.6,0.0,152.0,8.0,0.0,0.0,91.0,0.0,0.0,107.0,0.82,0.0,0.0,15.9,12.69,1.933,1.634,0.0,43.0,1 bar,0.0,0,0.0,завтрак,cluster 16
абиюч,abiyuch,79.9,69,1.5,0.1,0.9,17.6,5.3,8.55,8.0,1.61,24.0,47.0,304.0,20.0,0.31,0.057,0.182,0.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,114.0,.5 cup,0.0,0,0.0,абиюч,cluster 16
"абиюч,сырье","abiyuch,raw",79.9,69,1.5,0.1,0.9,17.6,5.3,8.55,8.0,1.61,24.0,47.0,304.0,20.0,0.31,0.057,0.182,0.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,114.0,.5 cup,0.0,0,0.0,абиюч,cluster 16
